Index,Data_Type,Cluster_Label,Silhouette_Score
AC020584.1,Train,0,0.9473245445100101
DNM1P35,Train,0,0.9479596814322699
MRTFA-AS1,Train,0,0.9481421056247349
DGKH,Train,1,0.46776907257904793
AL451050.2,Train,0,0.9467039020794257
AC245033.2,Train,0,0.9469247614052692
TMEM191C,Train,0,0.94736247694751
NOXO1,Train,0,0.9474278384150545
ELMOD3,Train,0,0.8781863816590766
AC112503.2,Train,0,0.9467683167176659
UBL3,Train,0,0.5505391528861068
ABCA12,Train,0,0.9473645282575754
AC005912.2,Train,0,0.9470566448538403
AC245187.2,Train,0,0.9441637403002551
C9orf153,Train,0,0.9451055535111432
UBE2R2,Train,1,-0.006666444363459865
AL031123.2,Train,0,0.9475588540160809
AC009061.2,Train,0,0.9085342670212686
RCC1,Train,0,0.9431994906017673
AAGAB,Train,0,0.6844648842223074
AC015845.1,Train,0,0.9479464698755967
HNRNPH3,Train,0,0.7768565381127257
CISD1,Train,0,0.871544083462359
ZEB1,Train,1,0.30940996074652455
AL031768.2,Train,0,0.945704467896644
ZNF224,Train,0,0.924392722270116
UBXN6,Train,0,0.9309078300192039
AL390719.2,Train,0,0.9301307216883048
MYBBP1A,Train,0,0.9421698082811081
CREBL2,Train,0,0.9227015989562805
SLC7A6,Train,0,0.87244455791799
NELL2,Train,0,0.9435079004133198
PSCA,Train,0,0.9473882953966545
AC010328.1,Train,0,0.9463742778075511
GNA12,Train,0,0.7655808950255129
AC024651.1,Train,0,0.9464125048462302
ZBED6CL,Train,0,0.9476783532337582
RTTN,Train,0,0.5583748227871429
DOCK3,Train,0,0.8218857906316165
AC005355.1,Train,0,0.9475440610230642
CHMP6,Train,0,0.9459628138887226
PPIB,Train,0,0.938307141665931
AC073842.1,Train,0,0.9476337177073155
FCGRT,Train,0,0.9207108844486536
AC005332.3,Train,0,0.9481676067716709
ARNT,Train,0,0.7025468454272026
TNFSF18,Train,0,0.9465053020083113
CATSPER1,Train,0,0.9471838193149581
AC068446.2,Train,0,0.9480017315410426
TEX10,Train,0,0.9055742979378334
AL136169.1,Train,0,0.9473996739556169
SPDL1,Train,0,0.9470852770342868
NOP14-AS1,Train,0,0.9466252345880949
AC055758.2,Train,0,0.9464271075529384
AC068790.3,Train,0,0.9470106913622346
FAM83D,Train,0,0.9478855765886597
DLG3,Train,0,0.9065758953842472
HHIPL1,Train,0,0.9475178495383837
AC005082.1,Train,0,0.9479450132163557
TBX3,Train,0,0.9467107532749895
DNAJC17,Train,0,0.9020233153828175
TRDN,Train,0,0.9479790992054917
LRIT3,Train,0,0.9474583633339483
METTL6,Train,0,0.8831482322767199
PAPOLB,Train,0,0.9465517841439516
MRPL33,Train,0,0.724791103154947
CIART,Train,0,0.9478394515119622
AL008628.1,Train,0,0.9471169004153017
FOXP4,Train,0,0.9403891210326881
A2M,Train,0,0.7959243653169241
AC011841.1,Train,0,0.9464427382913261
RAB18,Train,0,0.8027886100013307
TMEM254,Train,0,0.9370155508142491
AL391056.2,Train,0,0.9476008882313793
POMGNT1,Train,0,0.9166930626353667
AC096675.1,Train,0,0.9466841289585446
AL021978.1,Train,0,0.9467885243444505
AP000477.3,Train,0,0.9466405038682782
AC078864.1,Train,0,0.9411653731054145
SRRM5,Train,0,0.948137485066616
AC009413.2,Train,0,0.946543273342565
