"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"1","AL627309.1"
"2","AL627309.5"
"3","LINC01409"
"4","LINC01128"
"5","LINC00115"
"6","FAM41C"
"7","AL645608.6"
"8","AL645608.2"
"9","LINC02593"
"10","SAMD11"
"11","NOC2L"
"12","KLHL17"
"13","PLEKHN1"
"14","PERM1"
"15","AL645608.7"
"16","HES4"
"17","ISG15"
"18","AL645608.1"
"19","AGRN"
"20","RNF223"
"21","C1orf159"
"22","AL390719.3"
"23","LINC01342"
"24","AL390719.2"
"25","TTLL10-AS1"
"26","TTLL10"
"27","TNFRSF4"
"28","SDF4"
"29","B3GALT6"
"30","C1QTNF12"
"31","AL162741.1"
"32","UBE2J2"
"33","LINC01786"
"34","SCNN1D"
"35","ACAP3"
"36","INTS11"
"37","CPTP"
"38","TAS1R3"
"39","DVL1"
"40","MXRA8"
"41","AURKAIP1"
"42","CCNL2"
"43","MRPL20-AS1"
"44","MRPL20"
"45","AL391244.2"
"46","ANKRD65"
"47","VWA1"
"48","ATAD3C"
"49","ATAD3B"
"50","ATAD3A"
"51","TMEM240"
"52","SSU72"
"53","FNDC10"
"54","AL691432.4"
"55","AL691432.2"
"56","MIB2"
"57","MMP23B"
"58","CDK11B"
"59","FO704657.1"
"60","SLC35E2B"
"61","CDK11A"
"62","SLC35E2A"
"63","NADK"
"64","GNB1"
"65","TMEM52"
"66","CFAP74"
"67","PRKCZ"
"68","AL590822.2"
"69","FAAP20"
"70","AL590822.1"
"71","SKI"
"72","AL590822.3"
"73","MORN1"
"74","AL589739.1"
"75","AL513477.2"
"76","RER1"
"77","PEX10"
"78","PLCH2"
"79","PANK4"
"80","AL139246.5"
"81","TNFRSF14-AS1"
"82","TNFRSF14"
"83","AL139246.3"
"84","PRXL2B"
"85","MMEL1"
"86","TTC34"
"87","AC242022.2"
"88","PRDM16-DT"
"89","PRDM16"
"90","AL354743.2"
"91","AL354743.1"
"92","ARHGEF16"
"93","AL512413.1"
"94","MEGF6"
"95","AL513320.1"
"96","TPRG1L"
"97","WRAP73"
"98","TP73"
"99","SMIM1"
"100","LRRC47"
"101","CEP104"
"102","DFFB"
"103","C1orf174"
"104","LINC01134"
"105","AJAP1"
"106","Z98886.1"
"107","Z98259.3"
"108","AL365255.1"
"109","NPHP4"
"110","KCNAB2"
"111","CHD5"
"112","RPL22"
"113","RNF207"
"114","ICMT"
"115","GPR153"
"116","ACOT7"
"117","HES2"
"118","ESPN"
"119","AL031848.1"
"120","TNFRSF25"
"121","PLEKHG5"
"122","NOL9"
"123","ZBTB48"
"124","KLHL21"
"125","PHF13"
"126","THAP3"
"127","DNAJC11"
"128","CAMTA1"
"129","AL512330.1"
"130","AL359881.2"
"131","AL359881.1"
"132","VAMP3"
"133","PER3"
"134","Z98884.1"
"135","AL034417.4"
"136","AL034417.3"
"137","ERRFI1"
"138","AL034417.2"
"139","SLC45A1"
"140","RERE"
"141","RERE-AS1"
"142","ENO1"
"143","GPR157"
"144","MIR34AHG"
"145","LNCTAM34A"
"146","H6PD"
"147","SPSB1"
"148","LINC02606"
"149","SLC25A33"
"150","TMEM201"
"151","PIK3CD"
"152","PIK3CD-AS2"
"153","CLSTN1"
"154","CTNNBIP1"
"155","AL357140.4"
"156","LZIC"
"157","NMNAT1"
"158","UBE4B"
"159","KIF1B"
"160","AL139424.3"
"161","AL139424.2"
"162","PGD"
"163","CENPS"
"164","CORT"
"165","DFFA"
"166","PEX14"
"167","AL139423.2"
"168","CASZ1"
"169","AL139423.1"
"170","TARDBP"
"171","MASP2"
"172","AL109811.2"
"173","SRM"
"174","EXOSC10"
"175","AL109811.1"
"176","MTOR"
"177","MTOR-AS1"
"178","ANGPTL7"
"179","UBIAD1"
"180","AL031731.1"
"181","FBXO2"
"182","FBXO44"
"183","FBXO6"
"184","MAD2L2"
"185","AGTRAP"
"186","C1orf167"
"187","MTHFR"
"188","CLCN6"
"189","NPPA"
"190","AL021155.5"
"191","KIAA2013"
"192","PLOD1"
"193","MFN2"
"194","MIIP"
"195","TNFRSF8"
"196","TNFRSF1B"
"197","VPS13D"
"198","DHRS3"
"199","AADACL4"
"200","C1orf158"
"201","PDPN"
"202","PRDM2"
"203","KAZN"
"204","AL357873.1"
"205","KAZN-AS1"
"206","AL031293.1"
"207","TMEM51-AS1"
"208","TMEM51"
"209","C1orf195"
"210","FHAD1"
"211","AL031283.2"
"212","EFHD2"
"213","CELA2B"
"214","CASP9"
"215","DNAJC16"
"216","AGMAT"
"217","AL121992.1"
"218","DDI2"
"219","PLEKHM2"
"220","AL450998.3"
"221","SLC25A34"
"222","SLC25A34-AS1"
"223","TMEM82"
"224","FBLIM1"
"225","UQCRHL"
"226","AL450998.2"
"227","SPEN"
"228","ZBTB17"
"229","HSPB7"
"230","CLCNKA"
"231","CLCNKB"
"232","FAM131C"
"233","EPHA2"
"234","AL451042.2"
"235","AL451042.1"
"236","ARHGEF19"
"237","AL109627.1"
"238","CPLANE2"
"239","FBXO42"
"240","SZRD1"
"241","SPATA21"
"242","NECAP2"
"243","LINC01772"
"244","AL137802.2"
"245","NBPF1"
"246","CROCC"
"247","BX284668.5"
"248","MFAP2"
"249","AL049569.1"
"250","ATP13A2"
"251","SDHB"
"252","PADI2"
"253","LINC02783"
"254","PADI1"
"255","PADI4"
"256","RCC2"
"257","ARHGEF10L"
"258","IGSF21"
"259","KLHDC7A"
"260","ALDH4A1"
"261","IFFO2"
"262","UBR4"
"263","EMC1-AS1"
"264","EMC1"
"265","MRTO4"
"266","AKR7A3"
"267","AKR7A2"
"268","SLC66A1"
"269","CAPZB"
"270","MICOS10"
"271","NBL1"
"272","TMCO4"
